연도,회차,일차,경주번호,경기종류,번호,등급,기수,선수명,성별,나이,체중,최근6회차_평균착순점,최근6회차_평균득점,최근6회차_승률,최근6회차_연대율2,최근6회차_연대율3,최근6회차_평균ST,최근8경주_착순,연간성적_평균착순점,연간성적_연대율,FL,평균사고점,금일출주경주,전일성적,출주횟수,코스_1코스,코스_2코스,코스_3코스,코스_4코스,코스_5코스,코스_6코스,모터번호,모터_평균착순점,모터_연대율2,모터_연대율3,전탑승선수1,전탑승선수2,보트번호,보트_평균착순점,보트_연대율,특이사항
2015,10,2,6,플라잉,4,B1,4,경상수,남,44,55,4.35,4.12,11.8,29.4,41.2,0.29,2325 6645,3.17,16.7,F0L0,0.17,,일13-2,19,33.3/3,66.7/3,25.0/4,33.3/3,25.0/4,0.0/2,034,6.8,49.4,69,김현철/321,길현태/234,061,4.34,20.2,
2015,10,2,6,플라잉,5,A2,1,강지환,남,37,60,5.78,5.5,22.2,27.8,72.2,0.26,5663 3131,5.2,20,F0L0,0.3,,일12-4,25,0.0/4,75.0/4,0.0/5,33.3/3,33.3/3,33.3/6,105,4.5,17.4,41.9,구본협/56,홍기철/6,064,5.53,32.3,
2015,10,2,6,플라잉,6,A1,2,진석현,남,40,64,4.59,4.41,11.8,35.3,41.2,0.24,6566 4435,2.44,0,F0L0,0.28,13,"일02-5, 일08-6",24,60.0/5,25.0/4,66.7/3,25.0/4,0.0/3,20.0/5,062,6.15,40.6,60.4,전정환/534,유석현/242,029,6.74,47.3,
2015,10,2,7,플라잉,1,A2,8,이동준,남,30,56,6.44,6.16,43.8,56.3,62.5,0.23,1510 2243,6.5,57.1,F0L0,0.32,01,일06-5,25,60.0/5,66.7/3,83.3/6,75.0/4,0.0/3,50.0/4,031,4.45,25.6,34.9,이진휘/66,최영재/111,021,6.17,47.7,
2015,10,2,7,플라잉,2,B2,8,오승철,남,32,60,3.09,2.95,0,0,9.1,0.33,5635 5644,3.09,0,F0L0,0.14,15,일01-3,11,0.0/2,0.0/2,0.0/1,0.0/1,0.0/2,0.0/3,038,4.76,30.8,45.1,이진휘/546,김대선/645,090,4.95,25.5,
2015,10,2,7,플라잉,3,B1,11,김지현,여,28,47,3.13,3.03,0,6.7,26.7,0.27,5655 4526,3.46,7.7,F0L0,0.12,01,일14-6,24,0.0/4,20.0/5,0.0/4,0.0/3,0.0/4,0.0/4,036,4.91,33.3,42.2,김승택/16,김신오/645,033,5.3,32.9,
2015,10,2,7,플라잉,4,B1,10,반혜진,여,28,54,4.75,4.29,0,33.3,58.3,0.29,2332 3666,5,36.4,F0L0,0.45,,"일03-1, 일09-1",20,33.3/3,50.0/2,25.0/4,50.0/4,66.7/3,0.0/4,010,6.81,48.4,69.2,임태경/34,김태용/36,098,5.09,30.8,
2015,10,2,7,플라잉,5,A2,4,김경민,남,38,62,4.41,4.06,11.8,11.8,35.3,0.25,4556 3533,3.67,0,F0L0,0.61,14,일02-3,20,25.0/4,33.3/3,40.0/5,0.0/2,0.0/2,25.0/4,094,3.97,23.1,37.2,손근성/355,문안나/224,011,4.61,28.7,
2015,10,2,7,플라잉,6,A1,1,서화모,남,41,56,6.76,6.62,29.4,47.1,70.6,0.22,1152 1441,6.93,53.3,F0L0,0.13,13,일05-1,22,50.0/4,66.7/3,25.0/4,100.0/3,20.0/5,33.3/3,004,5.11,35.8,45.3,손지영/545,한  진/0646,047,6.74,48.8,
2015,10,2,8,플라잉,1,B1,1,황만주,남,44,61,2.53,2.37,6.7,6.7,6.7,0.32,6451 5556,2.82,9.1,F0L0,0.23,02,일09-2,20,66.7/3,25.0/4,0.0/3,0.0/3,0.0/4,0.0/3,106,4.07,18.4,28.7,임태경/555,박영수/55,095,5.62,33.3,
