연도,회차,일차,경주번호,경기종류
2018,28,2,15,플라잉
2018,28,2,16,플라잉
2018,29,1,1,플라잉
2018,29,1,2,플라잉
2018,29,1,3,플라잉
2018,29,1,4,플라잉
2018,29,1,5,플라잉
2018,29,1,6,플라잉
2018,29,1,7,플라잉
2018,29,1,8,플라잉
2018,29,1,9,플라잉
2018,29,1,10,플라잉
2018,29,1,11,플라잉
2018,29,1,12,플라잉
2018,29,1,13,플라잉
2018,29,1,14,플라잉
2018,29,1,15,플라잉
2018,29,1,16,플라잉
2018,29,2,1,플라잉
2018,29,2,2,플라잉
2018,29,2,3,플라잉
2018,29,2,4,플라잉
2018,29,2,5,플라잉
2018,29,2,6,플라잉
2018,29,2,7,플라잉
2018,29,2,8,플라잉
2018,29,2,9,플라잉
2018,29,2,10,플라잉
2018,29,2,11,플라잉
2018,29,2,12,플라잉
2018,29,2,13,플라잉
2018,29,2,14,플라잉
2018,29,2,15,플라잉
2018,29,2,16,플라잉
2018,30,1,1,온라인
2018,30,1,2,온라인
2018,30,1,3,플라잉
2018,30,1,4,플라잉
2018,30,1,5,플라잉
2018,30,1,6,플라잉
2018,30,1,7,플라잉
2018,30,1,8,플라잉
2018,30,1,9,플라잉
2018,30,1,10,플라잉
2018,30,1,11,플라잉
2018,30,1,12,플라잉
2018,30,1,13,플라잉
2018,30,1,14,플라잉
2018,30,1,15,플라잉
2018,30,1,16,플라잉
2018,30,2,1,온라인
2018,30,2,2,온라인
2018,30,2,3,플라잉
2018,30,2,4,플라잉
2018,30,2,5,플라잉
2018,30,2,6,플라잉
2018,30,2,7,플라잉
2018,30,2,8,플라잉
2018,30,2,9,플라잉
2018,30,2,10,플라잉
2018,30,2,11,플라잉
2018,30,2,12,플라잉
2018,30,2,13,플라잉
2018,30,2,14,플라잉
2018,30,2,15,플라잉
2018,30,2,16,플라잉
2018,31,1,1,온라인
2018,31,1,2,온라인
2018,31,1,3,플라잉
2018,31,1,4,플라잉
2018,31,1,5,플라잉
2018,31,1,6,플라잉
2018,31,1,7,플라잉
2018,31,1,8,플라잉
2018,31,1,9,플라잉
2018,31,1,10,플라잉
2018,31,1,11,플라잉
2018,31,1,12,플라잉
2018,31,1,13,플라잉
2018,31,1,14,플라잉
2018,31,1,15,플라잉
2018,31,1,16,플라잉
2018,31,2,1,온라인
2018,31,2,2,온라인
2018,31,2,3,플라잉
2018,31,2,4,플라잉
